slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
sethian-gnosticism,Sethian Gnosticism,Gnostic,Sect / heterodox movement,gnosticism-umbrella,Normalized alias match: Gnosticism,Gnosticism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Gnostic / dualist-coded,Context-dependent,Teacher / sect network,,Gnostic; Esoteric; Dualist; Revelatory,Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,100,1st–2nd c. development; strongly attested in 2nd–3rd c. texts,350,Declines/changes by late antiquity,133 BC–AD 235,N,N,Y,N,N,N,Egypt / eastern Mediterranean,Egypt and philosophical circles,Sethian Gnostic groups,"Seth, Barbelo and complex aeon systems",No single secure center,Teacher/text communities,Strongly bounded esoteric identity,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Gnostic school,Heresy / esoteric sect,New CK3-style expansion,Sect / schism / school,"Secret revelation, cosmology, philosophical conflict",Well-attested through Nag Hammadi and heresiological evidence.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Sethianism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
theos-hypsistos-hypsistarian-worship,Theos Hypsistos / Hypsistarian Worship,Hellenic / Anatolian Henotheism,Cult / devotion,,No single parent resolved,Hellenic and Anatolian cults with Jewish influence,Base / independent / unresolved relationship,Cult Overlay,Personal or household additive devotion,Additive-compatible,Henotheist / monotheizing,Partially exclusive / transitional,Diffuse / decentralized,Syncretic,Henotheistic; Syncretic; Aniconic-tendency; Judaizing-adjacent,Syncretism,Overlay system,Ready for event/light content,Tier 3 — Enrichment,-200,Epigraphic evidence begins in the Hellenistic period,400,Attested into the 4th century; later identity becomes hard to trace,Pre-game / ancient,Y,Y,Y,Y,N,N,Anatolia / Black Sea regions,"Cappadocia, Bithynia, Pontus, Black Sea, eastern Mediterranean","Greek-speaking pagans, Judaizing gentiles, local Anatolians",Theos Hypsistos ('Most High God'); sometimes Zeus Hypsistos,Regional Hypsistos sanctuaries and inscriptional cult sites,Local associations and cult groups,Partially exclusive / henotheistic,Medium–High,Moderately attested,Broad/legacy label; fifth–sixth-century Germanic churches are often better described as Homoian.,Henotheistic / monotheizing cult complex,Syncretic sect / cult,New CK3-style expansion,Cult / devotion layer,"Religious boundary-blurring, Jewish-pagan interaction, monotheizing paganism",Should be modeled cautiously: modern scholarship debates whether all 'Hypsistos' dedications represent one coherent sect.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://academic.oup.com/edited-volume/61673/chapter-abstract/548933367,https://academic.oup.com/book/46888/chapter-abstract/422621958,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
apollonian-oracle-traditions-delphi-didyma,"Apollonian Oracle Traditions (Delphi, Didyma)",Hellenic / Greco-Roman,Cult / devotion,hellenic-religion,Normalized alias match: Hellenic Religion,Hellenic Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Oracular,Oracular; Pilgrimage; Civic,Oracle/Auspices; Pilgrimage; Local civic standing,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient; pre-133 BC,400,Some oracles operate into 4th/5th c. before closure,Pre-game / ancient,Y,Y,Y,Y,N,N,Greece / Ionia,Greek world and Roman elite pilgrimage,Greeks and Romans,Apollo,Delphi; Didyma,Sanctuary priesthoods/oracle personnel,Additive,High,Well attested,,Oracle cult network,Holy-site cult,Existing holy-site concept,Cult / devotion layer,"Risk preview, diplomacy, emperor decisions, pilgrimage",Treat Delphi and Didyma as local cult centers under one broader oracular tradition.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/article/640/the-temple-of-apollo-at-didyma/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
bacchic-dionysian-mysteries,Bacchic / Dionysian Mysteries,Hellenic / Greco-Roman,Mystery cult,hellenic-religion,Normalized alias match: Hellenic Religion,Dionysian cult within Hellenic religion,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Initiatory,Initiatory; Ecstatic; Syncretic,Sacred calendar; Initiation; Syncretism,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient; Bacchanalia suppressed by Roman Senate in 186 BC,400,Survives in varied forms into late antiquity,Pre-game / ancient,Y,Y,Y,Y,N,N,Greek world / Italy,Mediterranean,Mixed initiates,Dionysus/Bacchus,Local thiasoi and sanctuaries,Private associations; local priests,Additive,High,Well attested,,Mystery cult,Mystery cult,Named cult in existing catalog,Cult / devotion layer,"Secret association politics, moral panic, festival events","Suppression in 186 BC is pre-game precedent, not the end of Dionysian devotion.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://www.worldhistory.org/Roman_Religion/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
bosporan-religious-blend,Bosporan Religious Blend,Hellenic / Greco-Roman,Religion / base tradition,hellenic-religion,Explicit alias match,Hellenic Religion + Scythian/Sarmatian traditions,Related tradition,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic,Syncretic; Civic,Syncretism; Commerce/travel; Local civic standing,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Greek colonial and steppe blend; pre-133 BC,400,Transforms under late antique Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Bosporan Kingdom / Crimea,Northern Black Sea,"Bosporan Greeks, Scythians, Sarmatians",Greek gods plus steppe/local cults,Pantikapaion and regional sanctuaries,Civic/local priesthoods,Additive,High,Well attested,,Syncretic civic religion,Syncretic faith,Core named faith in existing catalog,Religion / branch,"Black Sea trade, mixed elites, steppe diplomacy",Designed as a genuine third flavor rather than either parent alone.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Bosporan_Kingdom,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cretan-hellenic-cult-tradition,Cretan Hellenic Cult Tradition,Hellenic / Greco-Roman,Cult / devotion,hellenic-religion,Normalized alias match: Hellenic Religion,Hellenic Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Syncretic; Pilgrimage,Syncretism; Pilgrimage,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient; pre-133 BC,450,Late-antique Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Crete,Crete,Cretans,Zeus birth-cave traditions; local Hellenic cults,Dictaean Cave; Idaean Cave,Local priesthoods,Additive,High,Well attested,,Regional cult complex,Regional branch,Core named faith in existing catalog,Cult / devotion layer,"Pilgrimage, mythic prestige, regional identity",Repo highlights the distinct Zeus-birth pilgrimage complex.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Psychro_Cave,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-artemis-of-ephesus,Cult of Artemis of Ephesus,Hellenic / Greco-Roman,Cult / devotion,hellenic-religion,Normalized alias match: Hellenic Religion,Hellenic Religion + Anatolian local tradition,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored,State-Sponsored (local); Syncretic; Pilgrimage,Priesthood; Syncretism; Pilgrimage; Local civic standing,Overlay system,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,400,Declines with Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Ephesus,Western Anatolia; famous across Mediterranean,Ephesians and pilgrims,Artemis Ephesia,Temple of Artemis at Ephesus,Civic/temple priesthoods,Additive,High,Well attested,,Local civic cult,Major local cult,Named cult in existing catalog,Cult / devotion layer,"Pilgrimage economy, civic prestige, Christian conflict",Centered on one of the Seven Wonders.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Temple_of_Artemis,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-the-cabeiri,Cult of the Cabeiri,Hellenic / Greco-Roman,Mystery cult,,No single parent resolved,Regional Aegean mystery traditions,Base / independent / unresolved relationship,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Initiatory,Initiatory; Protective; Smithing-coded,Initiation; Travel/navigation,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient; pre-133 BC,400,Declines in late antiquity,Pre-game / ancient,Y,Y,Y,Y,N,N,Aegean / Boeotia / Lemnos,Localized Greek sanctuaries,Local initiates,Cabeiri/Kabeiroi,"Thebes, Lemnos and regional sites",Local sanctuary priesthoods,Additive,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Mystery cult,Mystery cult,New CK3-style expansion,Cult / devotion layer,"Craft guild flavor, maritime protection, local initiation",Attestation varies by site and ritual tradition.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://en.wikipedia.org/wiki/Cabeiri,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
eleusinian-mysteries,Eleusinian Mysteries,Hellenic / Greco-Roman,Mystery cult,hellenic-religion,Normalized alias match: Hellenic Religion,Hellenic Religion,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Initiatory,Initiatory; Afterlife; Agricultural,Initiation; Pilgrimage,Overlay system,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,395,Sanctuary destroyed/closed in late 4th c.,Pre-game / ancient,Y,Y,Y,Y,N,N,Eleusis / Attica,Greek world and elite Mediterranean networks,Greek and Roman initiates,Demeter and Kore/Persephone,Eleusis,Eleusinian priestly families,Additive,High,Well attested,,Mystery cult,Mystery cult,Named cult in existing catalog,Cult / devotion layer,"Prestige initiation, pilgrimage, elite networks",Among the most prestigious mystery rites of antiquity.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://www.worldhistory.org/Eleusinian_Mysteries/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
hellenic-religion,Hellenic Religion,Hellenic / Greco-Roman,Religion / base tradition,,Base/contact layer: no parent required,Greek civic polytheisms,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Polytheist / plural cult system,Exclusive / competitive,State / civic institution,Syncretic; Oracular,Syncretic; Oracular; Civic,Oracle/Auspices; Sacred calendar; Syncretism; Local civic standing,Primary religion/community state,Ready for content design,Tier 1 — Core,,Ancient; pre-133 BC,,Public cults suppressed in late antiquity; local survivals beyond,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Greek world,"Greece, Aegean, western Anatolia, Greek colonies",Greeks and Hellenized populations,"Zeus, Hera, Athena, Apollo, Artemis, Demeter, Dionysus, etc.",Delphi; Dodona; Olympia; major polis sanctuaries,Decentralized civic priesthoods,Non-exclusive / additive,High,Well attested,,Religion / civic polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Oracle travel, festivals, polis ties, syncretism",Should remain a family of local civic cults rather than one centralized church.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
